fraksiya,t,vx,vy,vz,x,y,z
PM2.5,11.625000,5.000000,0.000000,-0.000282,58.1256,0.0000,19.9967
PM2.5,11.700000,5.000000,0.000000,-0.000282,58.5006,0.0000,19.9967
PM2.5,11.775000,5.000000,0.000000,-0.000282,58.8756,0.0000,19.9967
PM2.5,11.850000,5.000000,0.000000,-0.000282,59.2506,0.0000,19.9967
PM2.5,11.925000,5.000000,0.000000,-0.000282,59.6256,0.0000,19.9966
PM2.5,12.000000,5.000000,0.000000,-0.000282,60.0006,0.0000,19.9966
PM2.5,12.075000,5.000000,0.000000,-0.000282,60.3756,0.0000,19.9966
PM2.5,12.150000,5.000000,0.000000,-0.000282,60.7506,0.0000,19.9966
PM2.5,12.225000,5.000000,0.000000,-0.000282,61.1256,0.0000,19.9966
PM2.5,12.300000,5.000000,0.000000,-0.000282,61.5006,0.0000,19.9965
PM2.5,12.375000,5.000000,0.000000,-0.000282,61.8756,0.0000,19.9965
PM2.5,12.450000,5.000000,0.000000,-0.000282,62.2506,0.0000,19.9965
PM2.5,12.525000,5.000000,0.000000,-0.000282,62.6256,0.0000,19.9965
PM2.5,12.600000,5.000000,0.000000,-0.000282,63.0006,0.0000,19.9964
PM2.5,12.675000,5.000000,0.000000,-0.000282,63.3756,0.0000,19.9964
PM2.5,12.750000,5.000000,0.000000,-0.000282,63.7506,0.0000,19.9964
PM2.5,12.825000,5.000000,0.000000,-0.000282,64.1256,0.0000,19.9964
PM2.5,12.900000,5.000000,0.000000,-0.000282,64.5006,0.0000,19.9964
PM2.5,12.975000,5.000000,0.000000,-0.000282,64.8756,0.0000,19.9963
PM2.5,13.050000,5.000000,0.000000,-0.000282,65.2506,0.0000,19.9963
PM2.5,13.125000,5.000000,0.000000,-0.000282,65.6256,0.0000,19.9963
PM2.5,13.200000,5.000000,0.000000,-0.000282,66.0006,0.0000,19.9963
PM2.5,13.275000,5.000000,0.000000,-0.000282,66.3756,0.0000,19.9963
PM2.5,13.350000,5.000000,0.000000,-0.000282,66.7506,0.0000,19.9962
PM2.5,13.425000,5.000000,0.000000,-0.000282,67.1256,0.0000,19.9962
PM2.5,13.500000,5.000000,0.000000,-0.000282,67.5006,0.0000,19.9962
PM2.5,13.575000,5.000000,0.000000,-0.000282,67.8756,0.0000,19.9962
PM2.5,13.650000,5.000000,0.000000,-0.000282,68.2506,0.0000,19.9962
PM2.5,13.725000,5.000000,0.000000,-0.000282,68.6256,0.0000,19.9961
PM2.5,13.800000,5.000000,0.000000,-0.000282,69.0006,0.0000,19.9961
PM2.5,13.875000,5.000000,0.000000,-0.000282,69.3756,0.0000,19.9961
PM2.5,13.950000,5.000000,0.000000,-0.000282,69.7506,0.0000,19.9961
PM2.5,14.025000,5.000000,0.000000,-0.000282,70.1256,0.0000,19.9960
PM2.5,14.100000,5.000000,0.000000,-0.000282,70.5006,0.0000,19.9960
PM2.5,14.175000,5.000000,0.000000,-0.000282,70.8756,0.0000,19.9960
PM2.5,14.250000,5.000000,0.000000,-0.000282,71.2506,0.0000,19.9960
PM2.5,14.325000,5.000000,0.000000,-0.000282,71.6256,0.0000,19.9960
PM2.5,14.400000,5.000000,0.000000,-0.000282,72.0006,0.0000,19.9959
PM2.5,14.475000,5.000000,0.000000,-0.000282,72.3756,0.0000,19.9959
PM2.5,14.550000,5.000000,0.000000,-0.000282,72.7506,0.0000,19.9959
PM2.5,14.625000,5.000000,0.000000,-0.000282,73.1256,0.0000,19.9959
PM2.5,14.700000,5.000000,0.000000,-0.000282,73.5006,0.0000,19.9959
PM2.5,14.775000,5.000000,0.000000,-0.000282,73.8756,0.0000,19.9958
PM2.5,14.850000,5.000000,0.000000,-0.000282,74.2506,0.0000,19.9958
PM2.5,14.925000,5.000000,0.000000,-0.000282,74.6256,0.0000,19.9958
PM2.5,15.000000,5.000000,0.000000,-0.000282,75.0006,0.0000,19.9958
PM2.5,15.075000,5.000000,0.000000,-0.000282,75.3756,0.0000,19.9958
PM2.5,15.150000,5.000000,0.000000,-0.000282,75.7506,0.0000,19.9957
PM2.5,15.225000,5.000000,0.000000,-0.000282,76.1256,0.0000,19.9957
PM2.5,15.300000,5.000000,0.000000,-0.000282,76.5006,0.0000,19.9957
PM2.5,15.375000,5.000000,0.000000,-0.000282,76.8756,0.0000,19.9957
PM2.5,15.450000,5.000000,0.000000,-0.000282,77.2506,0.0000,19.9956
PM2.5,15.525000,5.000000,0.000000,-0.000282,77.6256,0.0000,19.9956
PM2.5,15.600000,5.000000,0.000000,-0.000282,78.0006,0.0000,19.9956
PM2.5,15.675000,5.000000,0.000000,-0.000282,78.3756,0.0000,19.9956
PM2.5,15.750000,5.000000,0.000000,-0.000282,78.7506,0.0000,19.9956
PM2.5,15.825000,5.000000,0.000000,-0.000282,79.1256,0.0000,19.9955
PM2.5,15.900000,5.000000,0.000000,-0.000282,79.5006,0.0000,19.9955
PM2.5,15.975000,5.000000,0.000000,-0.000282,79.8756,0.0000,19.9955
PM2.5,16.050000,5.000000,0.000000,-0.000282,80.2506,0.0000,19.9955
PM2.5,16.125000,5.000000,0.000000,-0.000282,80.6256,0.0000,19.9955
PM2.5,16.200000,5.000000,0.000000,-0.000282,81.0006,0.0000,19.9954
PM2.5,16.275000,5.000000,0.000000,-0.000282,81.3756,0.0000,19.9954
PM2.5,16.350000,5.000000,0.000000,-0.000282,81.7506,0.0000,19.9954
PM2.5,16.425000,5.000000,0.000000,-0.000282,82.1256,0.0000,19.9954
PM2.5,16.500000,5.000000,0.000000,-0.000282,82.5006,0.0000,19.9954
PM2.5,16.575000,5.000000,0.000000,-0.000282,82.8756,0.0000,19.9953
PM2.5,16.650000,5.000000,0.000000,-0.000282,83.2506,0.0000,19.9953
PM2.5,16.725000,5.000000,0.000000,-0.000282,83.6256,0.0000,19.9953
PM2.5,16.800000,5.000000,0.000000,-0.000282,84.0006,0.0000,19.9953
PM2.5,16.875000,5.000000,0.000000,-0.000282,84.3756,0.0000,19.9952
PM2.5,16.950000,5.000000,0.000000,-0.000282,84.7506,0.0000,19.9952
PM2.5,17.025000,5.000000,0.000000,-0.000282,85.1256,0.0000,19.9952
PM2.5,17.100000,5.000000,0.000000,-0.000282,85.5006,0.0000,19.9952
PM2.5,17.175000,5.000000,0.000000,-0.000282,85.8756,0.0000,19.9952
PM2.5,17.250000,5.000000,0.000000,-0.000282,86.2506,0.0000,19.9951
PM2.5,17.325000,5.000000,0.000000,-0.000282,86.6256,0.0000,19.9951
PM2.5,17.400000,5.000000,0.000000,-0.000282,87.0006,0.0000,19.9951
PM2.5,17.475000,5.000000,0.000000,-0.000282,87.3756,0.0000,19.9951
PM2.5,17.550000,5.000000,0.000000,-0.000282,87.7506,0.0000,19.9951
PM2.5,17.625000,5.000000,0.000000,-0.000282,88.1256,0.0000,19.9950
PM2.5,17.700000,5.000000,0.000000,-0.000282,88.5006,0.0000,19.9950
PM2.5,17.775000,5.000000,0.000000,-0.000282,88.8756,0.0000,19.9950
PM2.5,17.850000,5.000000,0.000000,-0.000282,89.2506,0.0000,19.9950
PM2.5,17.925000,5.000000,0.000000,-0.000282,89.6256,0.0000,19.9949
PM2.5,18.000000,5.000000,0.000000,-0.000282,90.0006,0.0000,19.9949
PM2.5,18.075000,5.000000,0.000000,-0.000282,90.3756,0.0000,19.9949
PM2.5,18.150000,5.000000,0.000000,-0.000282,90.7506,0.0000,19.9949
PM2.5,18.225000,5.000000,0.000000,-0.000282,91.1256,0.0000,19.9949
PM2.5,18.300000,5.000000,0.000000,-0.000282,91.5006,0.0000,19.9948
PM2.5,18.375000,5.000000,0.000000,-0.000282,91.8756,0.0000,19.9948
PM2.5,18.450000,5.000000,0.000000,-0.000282,92.2506,0.0000,19.9948
PM2.5,18.525000,5.000000,0.000000,-0.000282,92.6256,0.0000,19.9948
PM2.5,18.600000,5.000000,0.000000,-0.000282,93.0006,0.0000,19.9948
PM2.5,18.675000,5.000000,0.000000,-0.000282,93.3756,0.0000,19.9947
PM2.5,18.750000,5.000000,0.000000,-0.000282,93.7506,0.0000,19.9947
PM2.5,18.825000,5.000000,0.000000,-0.000282,94.1256,0.0000,19.9947
PM2.5,18.900000,5.000000,0.000000,-0.000282,94.5006,0.0000,19.9947
PM2.5,18.975000,5.000000,0.000000,-0.000282,94.8756,0.0000,19.9947
PM2.5,19.050000,5.000000,0.000000,-0.000282,95.2506,0.0000,19.9946
PM2.5,19.125000,5.000000,0.000000,-0.000282,95.6256,0.0000,19.9946
PM2.5,19.200000,5.000000,0.000000,-0.000282,96.0006,0.0000,19.9946
PM2.5,19.275000,5.000000,0.000000,-0.000282,96.3756,0.0000,19.9946
PM2.5,19.350000,5.000000,0.000000,-0.000282,96.7506,0.0000,19.9945
PM2.5,19.425000,5.000000,0.000000,-0.000282,97.1256,0.0000,19.9945
PM2.5,19.500000,5.000000,0.000000,-0.000282,97.5006,0.0000,19.9945
PM2.5,19.575000,5.000000,0.000000,-0.000282,97.8756,0.0000,19.9945
PM2.5,19.650000,5.000000,0.000000,-0.000282,98.2506,0.0000,19.9945
PM2.5,19.725000,5.000000,0.000000,-0.000282,98.6256,0.0000,19.9944
PM2.5,19.800000,5.000000,0.000000,-0.000282,99.0006,0.0000,19.9944
PM2.5,19.875000,5.000000,0.000000,-0.000282,99.3756,0.0000,19.9944
PM2.5,19.950000,5.000000,0.000000,-0.000282,99.7506,0.0000,19.9944
PM2.5,20.025000,5.000000,0.000000,-0.000282,100.1256,0.0000,19.9944
PM2.5,20.100000,5.000000,0.000000,-0.000282,100.5006,0.0000,19.9943
PM2.5,20.175000,5.000000,0.000000,-0.000282,100.8756,0.0000,19.9943
PM2.5,20.250000,5.000000,0.000000,-0.000282,101.2506,0.0000,19.9943
PM2.5,20.325000,5.000000,0.000000,-0.000282,101.6256,0.0000,19.9943
PM2.5,20.400000,5.000000,0.000000,-0.000282,102.0006,0.0000,19.9943
PM2.5,20.475000,5.000000,0.000000,-0.000282,102.3756,0.0000,19.9942
PM2.5,20.550000,5.000000,0.000000,-0.000282,102.7506,0.0000,19.9942
PM2.5,20.625000,5.000000,0.000000,-0.000282,103.1256,0.0000,19.9942
PM2.5,20.700000,5.000000,0.000000,-0.000282,103.5006,0.0000,19.9942
PM2.5,20.775000,5.000000,0.000000,-0.000282,103.8756,0.0000,19.9941
PM2.5,20.850000,5.000000,0.000000,-0.000282,104.2506,0.0000,19.9941
PM2.5,20.925000,5.000000,0.000000,-0.000282,104.6256,0.0000,19.9941
PM2.5,21.000000,5.000000,0.000000,-0.000282,105.0006,0.0000,19.9941
PM2.5,21.075000,5.000000,0.000000,-0.000282,105.3756,0.0000,19.9941
PM2.5,21.150000,5.000000,0.000000,-0.000282,105.7506,0.0000,19.9940
PM2.5,21.225000,5.000000,0.000000,-0.000282,106.1256,0.0000,19.9940
PM2.5,21.300000,5.000000,0.000000,-0.000282,106.5006,0.0000,19.9940
PM2.5,21.375000,5.000000,0.000000,-0.000282,106.8756,0.0000,19.9940
PM2.5,21.450000,5.000000,0.000000,-0.000282,107.2506,0.0000,19.9940
PM2.5,21.525000,5.000000,0.000000,-0.000282,107.6256,0.0000,19.9939
PM2.5,21.600000,5.000000,0.000000,-0.000282,108.0006,0.0000,19.9939
PM2.5,21.675000,5.000000,0.000000,-0.000282,108.3756,0.0000,19.9939
PM2.5,21.750000,5.000000,0.000000,-0.000282,108.7506,0.0000,19.9939
PM2.5,21.825000,5.000000,0.000000,-0.000282,109.1256,0.0000,19.9939
PM2.5,21.900000,5.000000,0.000000,-0.000282,109.5006,0.0000,19.9938
PM2.5,21.975000,5.000000,0.000000,-0.000282,109.8756,0.0000,19.9938
PM2.5,22.050000,5.000000,0.000000,-0.000282,110.2506,0.0000,19.9938
PM2.5,22.125000,5.000000,0.000000,-0.000282,110.6256,0.0000,19.9938
PM2.5,22.200000,5.000000,0.000000,-0.000282,111.0006,0.0000,19.9937
PM2.5,22.275000,5.000000,0.000000,-0.000282,111.3756,0.0000,19.9937
PM2.5,22.350000,5.000000,0.000000,-0.000282,111.7506,0.0000,19.9937
PM2.5,22.425000,5.000000,0.000000,-0.000282,112.1256,0.0000,19.9937
PM2.5,22.500000,5.000000,0.000000,-0.000282,112.5006,0.0000,19.9937
PM2.5,22.575000,5.000000,0.000000,-0.000282,112.8756,0.0000,19.9936
PM2.5,22.650000,5.000000,0.000000,-0.000282,113.2506,0.0000,19.9936
PM2.5,22.725000,5.000000,0.000000,-0.000282,113.6256,0.0000,19.9936
PM2.5,22.800000,5.000000,0.000000,-0.000282,114.0006,0.0000,19.9936
PM2.5,22.875000,5.000000,0.000000,-0.000282,114.3756,0.0000,19.9936
PM2.5,22.950000,5.000000,0.000000,-0.000282,114.7506,0.0000,19.9935
PM2.5,23.025000,5.000000,0.000000,-0.000282,115.1256,0.0000,19.9935
PM2.5,23.100000,5.000000,0.000000,-0.000282,115.5006,0.0000,19.9935
PM2.5,23.175000,5.000000,0.000000,-0.000282,115.8756,0.0000,19.9935
PM2.5,23.250000,5.000000,0.000000,-0.000282,116.2506,0.0000,19.9934
PM2.5,23.325000,5.000000,0.000000,-0.000282,116.6256,0.0000,19.9934
PM2.5,23.400000,5.000000,0.000000,-0.000282,117.0006,0.0000,19.9934
